"0","# Clean names to the snake_case convention"
"0","pumpkins <- dat %>% clean_names(case = ""snake"")"
"0","# Return column names"
"0","pumpkins %>% names()"
"1"," [1]"
"1"," ""x1""             "
"1"," ""city_name""      "
"1"," ""type""           "
"1"," ""package""        "
"1"," ""variety""        "
"1","
"
"1"," [6]"
"1"," ""sub_variety""    "
"1"," ""grade""          "
"1"," ""date""           "
"1"," ""low_price""      "
"1"," ""high_price""     "
"1","
"
"1","[11]"
"1"," ""mostly_low""     "
"1"," ""mostly_high""    "
"1"," ""origin""         "
"1"," ""origin_district"""
"1"," ""item_size""      "
"1","
"
"1","[16]"
"1"," ""color""          "
"1"," ""environment""    "
"1"," ""unit_of_sale""   "
"1"," ""quality""        "
"1"," ""condition""      "
"1","
"
"1","[21]"
"1"," ""appearance""     "
"1"," ""storage""        "
"1"," ""crop""           "
"1"," ""repack""         "
"1"," ""trans_mode""     "
"1","
"
"1","[26]"
"1"," ""x26""            "
"1"," ""x27""            "
"1","
"
